MMIS_MD_ID|INTERFACE_ID|ELEMENT_NAME|LENGTH|SEQUENCE_NUM|REQUIRED
938|1|P-COS-BEG-DT-11|10|3160|False
939|1|P-COS-CD-11|2|3170|False
940|1|P-COS-END-DT-11|10|3180|False
941|1|P-COS-BEG-DT-12|10|3190|False
942|1|P-COS-CD-12|2|3200|False
943|1|P-COS-END-DT-12|10|3210|False
944|1|P-COS-BEG-DT-13|10|3220|False
945|1|P-COS-CD-13|2|3230|False
946|1|P-COS-END-DT-13|10|3240|False
947|1|P-COS-BEG-DT-14|10|3250|False
948|1|P-COS-CD-14|2|3260|False
949|1|P-COS-END-DT-14|10|3270|False
950|1|P-COS-BEG-DT-15|10|3280|False
951|1|P-COS-CD-15|2|3290|False
952|1|P-COS-END-DT-15|10|3300|False
953|1|P-COS-BEG-DT-16|10|3310|False
954|1|P-COS-CD-16|2|3320|False
955|1|P-COS-END-DT-16|10|3330|False
956|1|P-COS-BEG-DT-17|10|3340|False
957|1|P-COS-CD-17|2|3350|False
958|1|P-COS-END-DT-17|10|3360|False
959|1|P-COS-BEG-DT-18|10|3370|False
960|1|P-COS-CD-18|2|3380|False
961|1|P-COS-END-DT-18|10|3390|False
962|1|P-COS-BEG-DT-19|10|3400|False
963|1|P-COS-CD-19|2|3410|False
964|1|P-COS-END-DT-19|10|3420|False
965|1|P-COS-BEG-DT-20|10|3430|False
966|1|P-COS-CD-20|2|3440|False
967|1|P-COS-END-DT-20|10|3450|False
968|1|P-COS-BEG-DT-21|10|3460|False
969|1|P-COS-CD-21|2|3470|False
970|1|P-COS-END-DT-21|10|3480|False
971|1|P-COS-BEG-DT-22|10|3490|False
972|1|P-COS-CD-22|2|3500|False
973|1|P-COS-END-DT-22|10|3510|False
974|1|P-COS-BEG-DT-23|10|3520|False
975|1|P-COS-CD-23|2|3530|False
976|1|P-COS-END-DT-23|10|3540|False
977|1|P-COS-BEG-DT-24|10|3550|False
978|1|P-COS-CD-24|2|3560|False
979|1|P-COS-END-DT-24|10|3570|False
980|1|P-COS-BEG-DT-25|10|3580|False
981|1|P-COS-CD-25|2|3590|False
982|1|P-COS-END-DT-25|10|3600|False
983|1|P-COS-BEG-DT-26|10|3610|False
984|1|P-COS-CD-26|2|3620|False
985|1|P-COS-END-DT-26|10|3630|False
986|1|P-COS-BEG-DT-27|10|3640|False
987|1|P-COS-CD-27|2|3650|False
988|1|P-COS-END-DT-27|10|3660|False
989|1|P-COS-BEG-DT-28|10|3670|False
990|1|P-COS-CD-28|2|3680|False
991|1|P-COS-END-DT-28|10|3690|False
992|1|P-COS-BEG-DT-29|10|3700|False
993|1|P-COS-CD-29|2|3710|False
994|1|P-COS-END-DT-29|10|3720|False
995|1|P-COS-BEG-DT-30|10|3730|False
996|1|P-COS-CD-30|2|3740|False
997|1|P-COS-END-DT-30|10|3750|False
998|1|P-SPECL-BEG-DT-1|10|3760|False
999|1|P-SPECL-CD-1|3|3770|False
1000|1|P-SPECL-END-DT-1|10|3780|False
1001|1|P-LIC-BRD-NUM-1|40|3790|False
1002|1|P-SPECL-BEG-DT-2|10|3800|False
1003|1|P-SPECL-CD-2|3|3810|False
1004|1|P-SPECL-END-DT-2|10|3820|False
1005|1|P-LIC-BRD-NUM-2|40|3830|False
1006|1|P-SPECL-BEG-DT-3|10|3840|False
1007|1|P-SPECL-CD-3|3|3850|False
1008|1|P-SPECL-END-DT-3|10|3860|False
1009|1|P-LIC-BRD-NUM-3|40|3870|False
1010|1|P-SPECL-BEG-DT-4|10|3880|False
1011|1|P-SPECL-CD-4|3|3890|False
1012|1|P-SPECL-END-DT-4|10|3900|False
1013|1|P-LIC-BRD-NUM-4|40|3910|False
1014|1|P-SPECL-BEG-DT-5|10|3920|False
1015|1|P-SPECL-CD-5|3|3930|False
1016|1|P-SPECL-END-DT-5|10|3940|False
1017|1|P-LIC-BRD-NUM-5|40|3950|False
1018|1|P-SPECL-BEG-DT-6|10|3960|False
1019|1|P-SPECL-CD-6|3|3970|False
1020|1|P-SPECL-END-DT-6|10|3980|False
1021|1|P-LIC-BRD-NUM-6|40|3990|False
1022|1|P-SPECL-BEG-DT-7|10|4000|False
1023|1|P-SPECL-CD-7|3|4010|False
1024|1|P-SPECL-END-DT-7|10|4020|False
1025|1|P-LIC-BRD-NUM-7|40|4030|False
1026|1|P-SPECL-BEG-DT-8|10|4040|False
1027|1|P-SPECL-CD-8|3|4050|False
1028|1|P-SPECL-END-DT-8|10|4060|False
1029|1|P-LIC-BRD-NUM-8|40|4070|False
1030|1|P-SPECL-BEG-DT-9|10|4080|False
1031|1|P-SPECL-CD-9|3|4090|False
1032|1|P-SPECL-END-DT-9|10|4100|False
1033|1|P-LIC-BRD-NUM-9|40|4110|False
1034|1|P-SPECL-BEG-DT-10|10|4120|False
1035|1|P-SPECL-CD-10|3|4130|False
1036|1|P-SPECL-END-DT-10|10|4140|False
1037|1|P-LIC-BRD-NUM-10|40|4150|False
1038|1|P-SPECL-BEG-DT-11|10|4160|False
1039|1|P-SPECL-CD-11|3|4170|False
1040|1|P-SPECL-END-DT-11|10|4180|False
1041|1|P-LIC-BRD-NUM-11|40|4190|False
1042|1|P-SPECL-BEG-DT-12|10|4200|False
1043|1|P-SPECL-CD-12|3|4210|False
1044|1|P-SPECL-END-DT-12|10|4220|False
1045|1|P-LIC-BRD-NUM-12|40|4230|False
1046|1|P-SPECL-BEG-DT-13|10|4240|False
1047|1|P-SPECL-CD-13|3|4250|False
1048|1|P-SPECL-END-DT-13|10|4260|False
1049|1|P-LIC-BRD-NUM-13|40|4270|False
1050|1|P-SPECL-BEG-DT-14|10|4280|False
1051|1|P-SPECL-CD-14|3|4290|False
1052|1|P-SPECL-END-DT-14|10|4300|False
1053|1|P-LIC-BRD-NUM-14|40|4310|False
1054|1|P-SPECL-BEG-DT-15|10|4320|False
1055|1|P-SPECL-CD-15|3|4330|False
1056|1|P-SPECL-END-DT-15|10|4340|False
1057|1|P-LIC-BRD-NUM-15|40|4350|False
1058|1|P-SPECL-BEG-DT-16|10|4360|False
1059|1|P-SPECL-CD-16|3|4370|False
1060|1|P-SPECL-END-DT-16|10|4380|False
1061|1|P-LIC-BRD-NUM-16|40|4390|False
1062|1|P-SPECL-BEG-DT-17|10|4400|False
1063|1|P-SPECL-CD-17|3|4410|False
1064|1|P-SPECL-END-DT-17|10|4420|False
1065|1|P-LIC-BRD-NUM-17|40|4430|False
1066|1|P-SPECL-BEG-DT-18|10|4440|False
1067|1|P-SPECL-CD-18|3|4450|False
1068|1|P-SPECL-END-DT-18|10|4460|False
1069|1|P-LIC-BRD-NUM-18|40|4470|False
1070|1|P-SPECL-BEG-DT-19|10|4480|False
1071|1|P-SPECL-CD-19|3|4490|False
1072|1|P-SPECL-END-DT-19|10|4500|False
1073|1|P-LIC-BRD-NUM-19|40|4510|False
1074|1|P-SPECL-BEG-DT-20|10|4520|False
1075|1|P-SPECL-CD-20|3|4530|False
