"PID","PROV_ID_TYPE","ID_PROVIDER","ID_DOC","ID_LETTER_EXTERNAL","DTE_ADDED"
"38903","MCD","0454128        ","6514311002033","FIN-3310-O          ","07-NOV-14"
"38904","MCD","0454137        ","6514311002034","FIN-3310-O          ","07-NOV-14"
"39090","MCD","0455994        ","6514311002035","FIN-3310-O          ","07-NOV-14"
"39354","MCD","0458633        ","6514311002036","FIN-3310-O          ","07-NOV-14"
"39421","MCD","0459301        ","6514311002037","FIN-3310-O          ","07-NOV-14"
"39731","MCD","0462404        ","6514311002038","FIN-3310-O          ","07-NOV-14"
"40038","MCD","0465474        ","6514311002039","FIN-3310-O          ","07-NOV-14"
"40674","MCD","0471832        ","6514311002040","FIN-3310-O          ","07-NOV-14"
"40675","MCD","0471841        ","6514311002041","FIN-3310-O          ","07-NOV-14"
"40676","MCD","0471850        ","6514311002042","FIN-3310-O          ","07-NOV-14"
"41203","MCD","0477121        ","6514311002043","FIN-3310-O          ","07-NOV-14"
"42379","MCD","0488888        ","6514311002044","FIN-3310-O          ","07-NOV-14"
"42615","MCD","0491249        ","6514311002045","FIN-3310-O          ","07-NOV-14"
"42725","MCD","0492346        ","6514311002046","FIN-3310-O          ","07-NOV-14"
"43175","MCD","0496842        ","6514311002047","FIN-3310-O          ","07-NOV-14"
"43741","MCD","0502503        ","6514311002048","FIN-3310-O          ","07-NOV-14"
"43766","MCD","0502754        ","6514311002049","FIN-3310-O          ","07-NOV-14"
"43883","MCD","0503922        ","6514311002050","FIN-3310-O          ","07-NOV-14"
"43897","MCD","0504065        ","6514311002051","FIN-3310-O          ","07-NOV-14"
"44100","MCD","0506090        ","6514311002052","FIN-3310-O          ","07-NOV-14"
"44294","MCD","0508034        ","6514311002053","FIN-3310-O          ","07-NOV-14"
"44295","MCD","0508043        ","6514311002054","FIN-3310-O          ","07-NOV-14"
"44297","MCD","0508061        ","6514311002055","FIN-3310-O          ","07-NOV-14"
"44300","MCD","0508098        ","6514311002056","FIN-3310-O          ","07-NOV-14"
"44414","MCD","0509239        ","6514311002057","FIN-3310-O          ","07-NOV-14"
"44467","MCD","0509766        ","6514311002058","FIN-3310-O          ","07-NOV-14"
"44711","MCD","0512207        ","6514311002059","FIN-3310-O          ","07-NOV-14"
"44712","MCD","0512216        ","6514311002060","FIN-3310-O          ","07-NOV-14"
"44970","MCD","0514796        ","6514311002061","FIN-3310-O          ","07-NOV-14"
"10343516","MCD","0094459        ","6514311002062","FIN-3310-O          ","07-NOV-14"
"45865","MCD","0523740        ","6514311002063","FIN-3310-O          ","07-NOV-14"
"45867","MCD","0523768        ","6514311002064","FIN-3310-O          ","07-NOV-14"
"46048","MCD","0525579        ","6514311002065","FIN-3310-O          ","07-NOV-14"
"47142","MCD","0536512        ","6514311002066","FIN-3310-O          ","07-NOV-14"
"47143","MCD","0536521        ","6514311002067","FIN-3310-O          ","07-NOV-14"
"47561","MCD","0540703        ","6514311002068","FIN-3310-O          ","07-NOV-14"
"47743","MCD","0542523        ","6514311002069","FIN-3310-O          ","07-NOV-14"
"47745","MCD","0542541        ","6514311002070","FIN-3310-O          ","07-NOV-14"
"47893","MCD","0544021        ","6514311002071","FIN-3310-O          ","07-NOV-14"
"48512","MCD","0550210        ","6514311002072","FIN-3310-O          ","07-NOV-14"
"48516","MCD","0550256        ","6514311002073","FIN-3310-O          ","07-NOV-14"
"48562","MCD","0550710        ","6514311002074","FIN-3310-O          ","07-NOV-14"
"48790","MCD","0552996        ","6514311002075","FIN-3310-O          ","07-NOV-14"
"49259","MCD","0557697        ","6514311002076","FIN-3310-O          ","07-NOV-14"
"49451","MCD","0559613        ","6514311002077","FIN-3310-O          ","07-NOV-14"
"50275","MCD","0567855        ","6514311002078","FIN-3310-O          ","07-NOV-14"
"50753","MCD","0572634        ","6514311002079","FIN-3310-O          ","07-NOV-14"
"51043","MCD","0575533        ","6514311002080","FIN-3310-O          ","07-NOV-14"
"51044","MCD","0575542        ","6514311002081","FIN-3310-O          ","07-NOV-14"
"51045","MCD","0575551        ","6514311002082","FIN-3310-O          ","07-NOV-14"
"51207","MCD","0577175        ","6514311002083","FIN-3310-O          ","07-NOV-14"
"51450","MCD","0579600        ","6514311002084","FIN-3310-O          ","07-NOV-14"
"51869","MCD","0583793        ","6514311002085","FIN-3310-O          ","07-NOV-14"
"52213","MCD","0587235        ","6514311002086","FIN-3310-O          ","07-NOV-14"
"52584","MCD","0590945        ","6514311002087","FIN-3310-O          ","07-NOV-14"
"53136","MCD","0596467        ","6514311002088","FIN-3310-O          ","07-NOV-14"
"53285","MCD","0597957        ","6514311002089","FIN-3310-O          ","07-NOV-14"
"53508","MCD","0600184        ","6514311002090","FIN-3310-O          ","07-NOV-14"
"53509","MCD","0600193        ","6514311002091","FIN-3310-O          ","07-NOV-14"
"54859","MCD","0613698        ","6514311002092","FIN-3310-O          ","07-NOV-14"
"54995","MCD","0615052        ","6514311002093","FIN-3310-O          ","07-NOV-14"
"54997","MCD","0615070        ","6514311002094","FIN-3310-O          ","07-NOV-14"
"55418","MCD","0619281        ","6514311002095","FIN-3310-O          ","07-NOV-14"
"55512","MCD","0620233        ","6514311002096","FIN-3310-O          ","07-NOV-14"
"56489","MCD","0630008        ","6514311002097","FIN-3310-O          ","07-NOV-14"
"56806","MCD","0633176        ","6514311002098","FIN-3310-O          ","07-NOV-14"
"57054","MCD","0635656        ","6514311002099","FIN-3310-O          ","07-NOV-14"
"57493","MCD","0640042        ","6514311002100","FIN-3310-O          ","07-NOV-14"
"58991","MCD","0655027        ","6514311002101","FIN-3310-O          ","07-NOV-14"
"59090","MCD","0656017        ","6514311002102","FIN-3310-O          ","07-NOV-14"
"60992","MCD","0675032        ","6514311002103","FIN-3310-O          ","07-NOV-14"
"61497","MCD","0680080        ","6514311002104","FIN-3310-O          ","07-NOV-14"
"61498","MCD","0680099        ","6514311002105","FIN-3310-O          ","07-NOV-14"
"62403","MCD","0689152        ","6514311002106","FIN-3310-O          ","07-NOV-14"
"62496","MCD","0690088        ","6514311002107","FIN-3310-O          ","07-NOV-14"
"63492","MCD","0700049        ","6514311002108","FIN-3310-O          ","07-NOV-14"
"63493","MCD","0700058        ","6514311002109","FIN-3310-O          ","07-NOV-14"
"63572","MCD","0700843        ","6514311002110","FIN-3310-O          ","07-NOV-14"
"63575","MCD","0700870        ","6514311002111","FIN-3310-O          ","07-NOV-14"
"64541","MCD","0710538        ","6514311002112","FIN-3310-O          ","07-NOV-14"
"64585","MCD","0710976        ","6514311002113","FIN-3310-O          ","07-NOV-14"
"65511","MCD","0720232        ","6514311002114","FIN-3310-O          ","07-NOV-14"
"65514","MCD","0720269        ","6514311002115","FIN-3310-O          ","07-NOV-14"
"67488","MCD","0740005        ","6514311002116","FIN-3310-O          ","07-NOV-14"
"67494","MCD","0740069        ","6514311002117","FIN-3310-O          ","07-NOV-14"
"67495","MCD","0740078        ","6514311002118","FIN-3310-O          ","07-NOV-14"
"67506","MCD","0740185        ","6514311002119","FIN-3310-O          ","07-NOV-14"
"67509","MCD","0740210        ","6514311002120","FIN-3310-O          ","07-NOV-14"
"67513","MCD","0740256        ","6514311002121","FIN-3310-O          ","07-NOV-14"
"68500","MCD","0750129        ","6514311002122","FIN-3310-O          ","07-NOV-14"
"68501","MCD","0750138        ","6514311002123","FIN-3310-O          ","07-NOV-14"
"68517","MCD","0750290        ","6514311002124","FIN-3310-O          ","07-NOV-14"
"69494","MCD","0760065        ","6514311002125","FIN-3310-O          ","07-NOV-14"
"69497","MCD","0760092        ","6514311002126","FIN-3310-O          ","07-NOV-14"
"69524","MCD","0760369        ","6514311002127","FIN-3310-O          ","07-NOV-14"
"70543","MCD","0770554        ","6514311002128","FIN-3310-O          ","07-NOV-14"
