P_ADDR_TB /PADDRSTB / DCLP-ADDR-TB
P-EVENT-CD           ,3
P-EVENT-USER-ID      ,8
P-EVENT-NOTE-TX-TEXT  ,128
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P_LANG_TB /PLANGSTB / DCLP-LANG-TB      
P-SYS-ID             ,9
P-LANG-CD            ,1
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P_LETTER_TB /PLETTRTB / DCLP-LETTER-TB     
P-SYS-ID             ,9
P-STAT-EFF-DT        ,10
P-LETTER-TY-CD       ,2
P-LETTER-RSN-CD      ,9
P-ENROL-STAT-TY-CD   ,2
P_LIC_CERT_TB /PLICNSTB / DCLP-LIC-CERT-TB    
P-SYS-ID             ,9
P-LIC-EFF-DT         ,10
P-LIC-CERT-NUM       ,10
P-LIC-CERT-CD        ,2
P-ST-CD              ,2
P-LIC-RSTRCT-CD      ,1
P-LIC-VRFY-IND       ,1
P-LIC-BRD-NUM        ,40
P-LIC-EXPIR-DT,10
P-LIC-PERMIT-ID      ,30
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P_MGMT_AUTH_TB /PMAUTHTB / DCLP-MGMT-AUTH-TB    
P-SYS-ID             ,9
P-OWNER-TAX-ID       ,9
P-SEQ-NUM            ,9
P-AUTH-REP-FST-NAM   ,10
P-AUTH-REP-MI-NAM    ,1
P-AUTH-REP-LST-NAM   ,15
P-AUTH-REP-SFX-NAM   ,3
P-AUTH-REP-TTL-NAM   ,3
P-AUTH-REP-SSN-NUM   ,9
P-AUTH-REP-MCAD-ID   ,9
P-AUTH-REP-SIG-IND   ,1
P-AUTH-REP-SIGN-DT   ,10
P-PHRM-FIRST-NAM     ,10
P-PHRM-MI-NAM        ,1
P-PHRM-LAST-NAM      ,15
P-PHRM-SFX-NAM       ,3
P-PHRM-TITL-NAM      ,3
P-PHRM-SIGN-IND      ,1
P-PHRM-SIGN-DT       ,10
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P-PHRM-IND           ,1
P-PHRM-LIC-NUM       ,10
P-PHRM-ST-CD         ,2
P-AUTH-REP-AD        ,30
P-AUTH-CITY-NAM      ,20
P-AUTH-REP-ST-CD     ,2
P-AUTH-REP-ZIP5-CD   ,5
P-AUTH-REP-ZIP4-CD   ,4
P-AUTH-PHON-NUM      ,10
P-AUTH-EMAIL-AD-TEXT,128
P-AUTH-WEB-AD-TEXT,128
P-AUTH-NPI-NUM,10
P-PHRM-NPI-NUM,10
P-AUTH-REP-PSTN-CD   ,2
P_MCARE_TB /PMCARETB / DCLP-MCARE-TB     
P-SYS-ID             ,9
P-MCARE-BEG-DT       ,10
P-MCARE-END-DT       ,10
P-MCARE-NUM          ,12
P-MCARE-PART-A-IND   ,1
P-MCARE-PART-B-IND   ,1
P-MC-CARR-ID         ,10
P-MCARE-SRC-CD       ,1
P-MCARE-P-TY-CD      ,3
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P_MGMT_EMPL_TB /PMGMTETB / DCLP-MGMT-EMPL-TB    
P-SYS-ID             ,9
P-OWNER-TAX-ID       ,9
P-SEQ-NUM            ,9
P-EMPL-CNT-NUM       ,2
P-EMPL-FST-NAM       ,15
P-EMPL-MI-NAM        ,1
P-EMPL-LAST-NAM      ,20
P-EMPL-SFX-NAM       ,3
P-EMPL-TITL-NAM      ,3
P-EMPL-ID-NUM        ,9
P-EMPL-MCAID-ID      ,9
P-EMPL-BUSN-NAM      ,35
P-EMPL-DBA-NAM       ,35
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P-EMPL-NPI-NUM,10
P-EMPL-PHON-NUM      ,20
P-EMPL-CARR-NAM      ,35
P-EMPL-CARR-AD       ,35
P-EMPL-AGNT-NAM      ,25
P-EMPL-PLCY-NUM      ,20
P-EMPL-PLCY-NAM      ,35
P-EMPL-OCC-AMT       ,18
P-EMPL-AGGR-AMT      ,18
P-EMPL-INS-BEG-DT    ,10
P-EMPL-INS-END-DT    ,10
P-CLAIM-MADE-IND     ,1
P-EMPL-OCC-IND       ,1
P-EMPL-PSTN-CD       ,1
P-EMPL-SSN-NUM       ,9
P_MGMT_PREV_TB /PMPREVTB / DCLP-MGMT-PREV-TB    
P-SYS-ID             ,9
P-OWNER-TAX-ID       ,9
P-SEQ-NUM            ,9
P-EMPL-MCAID-IND     ,1
P-EMPL-CARR-NAM      ,35
P-EMPL-FSCL-NAM      ,35
P-EMPL-MCAID-ID      ,9
P-EMPL-MCAID-ST-CD   ,2
P-EMPL-PR-CARR-NAM   ,35
P-EMPL-PR-FSCL-NAM   ,35
P-EMPL-PR-MCAID-ID   ,9
P-EMPL-PR-ST-CD      ,2
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P_NOTE_TB /PNOTESTB / DCLP-NOTE-TB      
P-SYS-ID             ,9
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P-NOTE-TXT-TEXT   ,4000
P_NUM_BED_TB /PNUBEDTB / DCLP-NUM-BED-TB     
P-SYS-ID             ,9
P-IP-BED-NUM         ,9
P-PTRF-BED-NUM       ,9
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P-NF-BED-NUM         ,9
P-SNF-BED-NUM        ,9
P-ICF-MR-BED-NUM     ,9
P-TOT-BED-NUM        ,9
P-MO-OF-CERT-NUM     ,9
P_OWNER_NAM_TB /POWNAMTB / DCLP-OWNER-NAM-TB   
P-SYS-ID             ,9
P-OWN-ACQ-DT         ,10
P-PREV-OWN-NAM       ,35
P-PREV-PROV-NAM      ,35
P-NEW-OWN-NAM        ,35
P-NEW-PROV-NAM       ,35
P-PREV-ID-USE-IND    ,1
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P_OWNER_INFO_TB /POWNINTB / DCLP-OWNER-INFO-TB   
P-SYS-ID             ,9
P-OWNER-TAX-ID       ,9
P-SEQ-NUM            ,9
P-OWNERS-NUM         ,2
P-OWNER-FST-NAM      ,15
P-OWNER-MI-NAM       ,1
P-OWNER-LAST-NAM     ,20
P-OWNER-SFX-NAM      ,3
P-OWNER-TITL-NAM     ,3
P-OTHR-FST-NAM       ,15
P-OTHR-MI-NAM        ,1
P-OTHR-LAST-NAM      ,30
P-OTHR-SFX-NAM       ,3
P-OTHR-TITL-NAM      ,3
P-OWNER-ST-NAM       ,2
P-OWNER-BUSN-NAM     ,35
P-OWNER-DBA-NAM      ,35
P-OWNER-DT           ,10
P-OWNER-EMPLR-ID     ,9
P-OWNER-MCAID-NUM    ,9
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P-OWNER-LINE1-AD     ,30
P-OWNER-LINE2-AD     ,30
P-OWNER-CITY-NAM     ,20
P-OWNER-ST-CD        ,2
P-OWNER-ZIP5-CD      ,5
P-OWNER-ZIP4-CD      ,4
P-OWNER-PCT          ,18
P_PROG_TB /PPROGMTB / DCLP-PROG-TB      
P-SYS-ID             ,9
P-PROG-BEG-DT        ,10
P-PROG-END-DT        ,10
P-PROG-CD            ,1
G-AUD-USER-ID        ,7
G-AUD-DT             ,10
G-AUD-TM             ,8
P_REQ_ATT_TB /PREQATTB / DCLP-REQ-ATT-TB     
P-SYS-ID             ,9
P-ATT-DEP-OVR-IND    ,1
P-ATT-LIC-PMT-IND    ,1
P-ATT-AGREE-IND      ,1
P-ATT-W9-IND         ,1
P-ATT-CMS1513-IND    ,1
P-ATT-SSN-TAX-IND    ,1
P-ATT-CON-COO-IND    ,1
