Provider or Internal View,Page Name,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician Assistant,Chiropractor Individual,Dentist Individual,Dentist Individual,Optometrist Individual,Podiatrist Individual ,Podiatrist Individual ,Podiatrist Individual ,Psychologist,Psychologist,Psychologist,Psychologist,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Nurse Midwife Individual,Nurse Midwife Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual
Provider Entry/Provider Access Pages,Application Fee,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Ownership Disclosure,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Document Upload,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Provider Entry/Provider Access Pages,Provider Agreements,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Provider Entry/Provider Access Pages,PDF,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Provider Entry/Provider Access Pages,Provider User Account Maintenance,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Provider Entry/Provider Access Pages,Provider Account Administration ,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Provider Entry/Provider Access Pages,Provider Management Home,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Provider Entry/Provider Access Pages,Provider Management Home - Provider Financials,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Self Service,Hospice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
