Process,Page Name,Hospital,Hospital,Hospital,Hospital,Psychiatric Hospital,Psychiatric Residential Treatment Facility,Outpatient Health Facility - no longer used,Rural Health Clinic,Help Me Grow - no new providers until X,Dietician,PACE,Free Standing Birth Center,Federally Qualified Health Center,Eyeglass Volume Purchase Contract Vender,Other Accredited Home Health Agency,Managed Care Organization Panel Provider Only (Individual) ,Managed Care Organization Panel Provider Only (Group) ,Managed Care Organization Panel Provider Only (Organization) ,Managed Care Organization Panel Provider Only (Facility) ,Managed Care Organization Panel Provider Only (Pharmacy) ,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Professional Medical Group,Acupuncturist ,Physician Assistant,Physician Assistant,Non-Agency Personal Care Aide,Non-Agency Home Care Attendant,Non-Agency Home Care Attendant,Chiropractor Individual,Medicaid School Program,Dentist Individual,Dentist Individual,Dentist Individual,Professional Dental Group,Optometrist Individual,Podiatrist Individual ,Podiatrist Individual ,Podiatrist Individual ,Social Worker,Social Worker,Social Worker,Private Duty Nurse,"Physical Therapist, Individual","Physical Therapist, Individual","Speech Language Pathologist, Individual","Occupational Therapist, Individual","Occupational Therapist, Individual",Psychologist,Psychologist,Psychologist,Psychologist,"Audiologist, Individual",Hospice,Waivered Services Organization,Ambulatory Surgery Center,Professional Clinical Counselor,Professional Clinical Counselor,Professional Clinical Counselor,Clinic (AHCC),Clinic (AHCC),Mental Health Clinic - no longer used,Independent Marriage and Family Therapist,Independent Marriage and Family Therapist,Independent Marriage and Family Therapist,Behavioral Analyst,Chemical Dependency Counselor,Chemical Dependency Counselor,Chemical Dependency Counselor,Chemical Dependency Counselor,Waivered Services Individual ,End-Stage Renal Disease Dialysis Clinic,Medicare Certified Home Health Agency,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Anesthesia Assistant Individual,Pharmacist,Pharmacy,Pharmacy,Pharmacy,Pharmacy,Nurse Midwife Individual,Nurse Midwife Individual,Nurse Midwife Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Certified Registered Nurse Anesthetist (CRNA) Individual,Certified Registered Nurse Anesthetist (CRNA) Individual,Home and Community Based Assisted Living,Optician,Durable Medical Equipment Supplier,Durable Medical Equipment Supplier,Durable Medical Equipment Supplier,Durable Medical Equipment Supplier,Health Maintenance Organization - Internal provider entry,Enhanced Care Management - no active providers exist today,Imaging/Testing Facility ,Independent Laboratory,Portable X-Ray Supplier,Ambulance,Wheelchair Van,Ohio Department of Mental Health (Community Mental Health) Provider ,DODD Targeted Case Management,Nursing Facility,State Operated ICF-IID,Non-State Operated ICF-IID,State of Ohio Department Agency,ODADAS Certified/Licensed Treatment Program,Behavioral Health Para-Professionals ,Comprehensive Primary Care (CPC),Franchise Fee Only (Non Medicaid Provider) - Internal only,Veteran Home (Internal Only),Building and Wing Identifier for Long Term Care Facilities Only - Internal entry only,"Converted Inactive Provider/Type to Support Conversion into MITS 
",Type 00 is reserved for internal use and cannot be assigned (All Types)
Provider Entry/Provider Access Pages,Other Service Locations,O,O,O,O,O,O,O,O,N,O,N,O,O,N,O,N,N,N,N,N,O,O,O,O,O,O,O,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O,O,N ,N,N ,N,O,O,N,N,N,N,N,N
Provider Entry/Provider Access Pages,1099 Address,R,R,R,R,R,R,R,R,R,R,N,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,N,R,R,N,N,N,N,O,O
Provider Entry/Provider Access Pages,Home Office Address,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,N,O,O
Provider Entry/Provider Access Pages,Long Term Care Addresses,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,R,R,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Hospital Addresses,R,R,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Provider Specialties Page,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,N,R,R
Provider Entry/Provider Access Pages,Provider Taxonomies Page,R,R,R,R,R,R,R,R,R,R,N,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,N,R,R,N,N,N,N,R,R
Provider Entry/Provider Access Pages,Professional License Page,R,R,R,R,R,R,N,N,N,R,N,N,N,N,N,N,N,N,N,N,R,R,R,R,N,N,R,R,N,N,N,R,O,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,N,N,N,R,R,R,R,R,R,R,R,O,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,N,N,N,N,N,R,O,N,N,N,N,N,N,R,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Board Certifications,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,O,Optional,Optional,Optional,N,R,R,R,N,N,N,O,N,Optional,Optional,R,N,O,O,O,O,O,O,O,N,Optional,R,O,O,R,O,O,O,O,O,N,N,N,O,O,O,N,N,N,O,O,O,N,O,O,O,O,N,N,N,R,R,R,R,R,N,Optional,N,N,N,N,R,R,R,R,R,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,CLIA Certifications,O,O,O,O,O,O,N,N,N,N,N,N,O,N,N,N,N,N,N,N,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N
