Process,Page Name,Hospital,Hospital,Hospital,Hospital,Psychiatric Hospital,Psychiatric Residential Treatment Facility,Outpatient Health Facility - no longer used,Rural Health Clinic,Help Me Grow - no new providers until X,Dietician,PACE,Free Standing Birth Center,Federally Qualified Health Center,Eyeglass Volume Purchase Contract Vender,Other Accredited Home Health Agency,Managed Care Organization Panel Provider Only (Individual) ,Managed Care Organization Panel Provider Only (Group) ,Managed Care Organization Panel Provider Only (Organization) ,Managed Care Organization Panel Provider Only (Facility) ,Managed Care Organization Panel Provider Only (Pharmacy) ,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Professional Medical Group,Acupuncturist ,Physician Assistant,Physician Assistant,Non-Agency Personal Care Aide,Non-Agency Home Care Attendant,Non-Agency Home Care Attendant,Chiropractor Individual,Medicaid School Program,Dentist Individual,Dentist Individual,Dentist Individual,Professional Dental Group,Optometrist Individual,Podiatrist Individual ,Podiatrist Individual ,Podiatrist Individual ,Social Worker,Social Worker,Social Worker,Private Duty Nurse,"Physical Therapist, Individual","Physical Therapist, Individual","Speech Language Pathologist, Individual","Occupational Therapist, Individual","Occupational Therapist, Individual",Psychologist,Psychologist,Psychologist,Psychologist,"Audiologist, Individual",Hospice,Waivered Services Organization,Ambulatory Surgery Center,Professional Clinical Counselor,Professional Clinical Counselor,Professional Clinical Counselor,Clinic (AHCC),Clinic (AHCC),Mental Health Clinic - no longer used,Independent Marriage and Family Therapist,Independent Marriage and Family Therapist,Independent Marriage and Family Therapist,Behavioral Analyst,Chemical Dependency Counselor,Chemical Dependency Counselor,Chemical Dependency Counselor,Chemical Dependency Counselor,Waivered Services Individual ,End-Stage Renal Disease Dialysis Clinic,Medicare Certified Home Health Agency,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Anesthesia Assistant Individual,Pharmacist,Pharmacy,Pharmacy,Pharmacy,Pharmacy,Nurse Midwife Individual,Nurse Midwife Individual,Nurse Midwife Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Certified Registered Nurse Anesthetist (CRNA) Individual,Certified Registered Nurse Anesthetist (CRNA) Individual,Home and Community Based Assisted Living,Optician,Durable Medical Equipment Supplier,Durable Medical Equipment Supplier,Durable Medical Equipment Supplier,Durable Medical Equipment Supplier,Health Maintenance Organization - Internal provider entry,Enhanced Care Management - no active providers exist today,Imaging/Testing Facility ,Independent Laboratory,Portable X-Ray Supplier,Ambulance,Wheelchair Van,Ohio Department of Mental Health (Community Mental Health) Provider ,DODD Targeted Case Management,Nursing Facility,State Operated ICF-IID,Non-State Operated ICF-IID,State of Ohio Department Agency,ODADAS Certified/Licensed Treatment Program,Behavioral Health Para-Professionals ,Comprehensive Primary Care (CPC),Franchise Fee Only (Non Medicaid Provider) - Internal only,Veteran Home (Internal Only),Building and Wing Identifier for Long Term Care Facilities Only - Internal entry only,"Converted Inactive Provider/Type to Support Conversion into MITS 
",Type 00 is reserved for internal use and cannot be assigned (All Types)
Provider Entry/Provider Access Pages,Medicare Page,R,R,R,R,R,O,O,R,O,O,N,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,R,N,R,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,R,R,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,R,O,R,R,O,O,O,R,O,O,N,O,R,N,N,N,N,O,O
Provider Entry/Provider Access Pages,Provider Type Behavioral Health,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,R,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Pharmacy Provider,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,CPR and First Aid,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,DME Providers Page,N,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,R,R,N,N,N,R,R,R,N,N,R,N,N,R,R,R,N,R,N,N,R,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Provider Group Facility Hospital for Group Affiliations,R,R,R,R,R,R,R,R,R,N,N,R,R,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,R,N,N,N,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,R,N,N,N,R,R,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,R,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,R,N,N,N,N,N,R,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Provider Group Facility Hospital for Individual Affiliations,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,Conditional,O,O,O,N,O,O,O,N,N,N,O,N,O,R,R,N,O,O,O,O,O,R,R,O,O,N,O,O,O,O,R,R,R,O,N,N,N,O,R,R,N,N,N,O,R,R,O,O,R,R,R,N,N,N,O,O,O,O,O,O,Conditional,N,N,N,N,R,R,R,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N
Provider Entry/Provider Access Pages,MCP Affiliation Page,O,O,O,O,O,O,N,O,O,O,O,N,O,N,N,N,N,N,N,N,O,O,O,O,O,O,O,O,N,N,N,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,N,N,O ,O,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Nursing Facility Ventilator,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Controlled Dangerous Substance (CDS),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Conditional,Conditional,Conditional,Conditional,N,N,Conditional,Conditional,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,Conditional,Conditional,Conditional,Conditional,Conditional,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Federal Drug Enforcement Agency (DEA) Registration,N,N,N,N,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,R,R,R,R,N,N,O,O,N,N,N,N,N,R,R,R,N,N,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,O,O,O,O,O,N,R,R,R,R,R,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Professional Liability Insurance,R,R,R,R,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,N,R,R,R,R,N,R,R,R,N,N,N,R,N,R,R,R,N,R,R,R,N,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,N,N,R,R,R,N,N,N,R,R,R,N,R,R,R,R,N,N,R,R,R,R,N,N,N,R,N,N,N,N,R,R,R,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,R,N,R,N,N,N,R,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Education and Training,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,N,R,R,R,R,N,R,R,R,N,N,N,R,N,R,R,R,N,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,N,N,N,R,R,R,N,N,N,R,R,R,N,R,R,R,R,N,N,N,R,R,R,R,R,N,R,N,N,N,N,R,R,R,R,R,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Malpractice Claims History,N,N,N,N,N,N,N,N,N,R,N,N,N,N,N,N,N,N,N,N,R,R,R,R,N,R,R,R,N,N,N,R,N,R,R,R,N,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,N,N,N,R,R,R,N,N,N,R,R,R,N,R,R,R,R,N,N,N,R,R,R,R,R,N,R,N,N,N,N,R,R,R,R,R,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
