01	760	37	2	187	1	1
01	762	37	2	238	1	1
01	761	37	2	401	1	1
20	761	37	18	401	1	1
20	761	37	19	401	1	1
20	762	37	18	238	1	1
20	762	37	19	238	1	1
20	339	33	18	277	1	1
20	339	33	19	277	1	1
20	212	33	18	264	1	1
20	212	33	19	264	1	1
20	220	33	18	265	1	1
20	220	33	19	265	1	1
20	232	33	18	267	1	1
20	232	33	19	267	1	1
20	241	33	18	268	1	1
20	241	33	19	268	1	1
20	293	33	18	273	1	1
20	293	33	19	273	1	1
20	211	33	18	207	1	1
20	211	33	19	207	1	1
20	217	33	18	208	1	1
20	217	33	19	208	1	1
20	235	33	18	212	1	1
20	235	33	19	212	1	1
20	322	33	18	224	1	1
20	322	33	19	224	1	1
20	205	33	18	319	1	1
20	205	33	19	319	1	1
20	221	33	18	321	1	1
20	221	33	19	321	1	1
20	251	33	18	324	1	1
20	251	33	19	324	1	1
20	253	33	18	326	1	1
20	253	33	19	326	1	1
20	261	33	18	327	1	1
20	261	33	19	327	1	1
20	283	33	18	331	1	1
20	283	33	19	331	1	1
20	357	33	18	337	1	1
20	357	33	19	337	1	1
20	362	33	18	338	1	1
20	362	33	19	338	1	1
20	210	33	18	373	1	1
20	210	33	19	373	1	1
20	222	33	18	374	1	1
20	222	33	19	374	1	1
20	247	33	18	377	1	1
20	247	33	19	377	1	1
20	248	33	18	378	1	1
20	248	33	19	378	1	1
20	258	33	18	379	1	1
20	258	33	19	379	1	1
20	356	33	18	388	1	1
20	356	33	19	388	1	1
20	760	37	18	187	1	1
20	760	37	19	187	1	1
20	202	33	18	156	1	1
20	202	33	19	156	1	1
20	209	33	18	158	1	1
20	209	33	19	158	1	1
20	219	33	18	159	1	1
20	219	33	19	159	1	1
20	223	33	18	160	1	1
20	223	33	19	160	1	1
20	233	33	18	162	1	1
20	233	33	19	162	1	1
20	267	33	18	165	1	1
20	267	33	19	165	1	1
20	273	33	18	166	1	1
20	273	33	19	166	1	1
20	290	33	18	169	1	1
20	290	33	19	169	1	1
20	218	33	18	6	1	1
20	218	33	19	6	1	1
20	361	33	18	21	1	1
20	361	33	19	21	1	1
20	206	33	18	47	1	1
20	206	33	19	47	1	1
20	208	33	18	48	1	1
20	208	33	19	48	1	1
20	215	33	18	49	1	1
20	215	33	19	49	1	1
20	321	33	18	61	1	1
20	321	33	19	61	1	1
20	359	33	18	68	1	1
20	359	33	19	68	1	1
20	363	33	18	70	1	1
20	363	33	19	70	1	1
20	365	33	18	71	1	1
20	365	33	19	71	1	1
20	214	33	18	109	1	1
20	214	33	19	109	1	1
20	249	33	18	110	1	1
20	249	33	19	110	1	1
20	336	33	18	121	1	1
20	336	33	19	121	1	1
20	338	33	18	122	1	1
20	338	33	19	122	1	1
20	358	33	18	123	1	1
20	358	33	19	123	1	1
24	023	44	23	151	1	1
24	023	44	24	151	1	1
30	023	52	30	151	1	1
30	023	52	31	151	1	1
30	023	44	30	151	1	1
30	023	44	31	151	1	1
30	023	33	30	151	1	1
30	023	33	31	151	1	1
30	303	33	30	275	1	1
30	303	33	31	275	1	1
36	760	6	35	187	1	1
36	760	6	36	187	1	1
36	760	37	35	187	1	1
36	760	37	36	187	1	1
36	762	6	36	238	0	0
36	762	37	35	238	1	1
36	762	37	36	238	1	1
36	762	6	35	238	0	0
37	371	33	38	124	1	1
37	373	33	38	125	1	1
39	023	52	41	151	1	1
39	023	44	41	151	1	1
39	023	33	41	151	0	0
41	023	52	45	151	1	1
41	023	44	45	151	1	1
42	422	33	46	74	1	1
42	422	33	47	74	1	1
42	423	33	46	288	1	1
42	423	33	47	288	1	1
42	424	33	46	341	1	1
42	424	33	47	341	1	1
47	471	33	53	291	1	1
47	472	33	53	182	1	1
50	762	37	54	238	1	1
52	522	33	56	130	1	1
52	521	33	56	233	1	1
54	542	33	58	294	1	1
54	543	33	58	350	1	1
54	541	33	58	398	1	1
65	761	71	62	401	0	0
65	761	71	63	401	0	0
65	761	6	62	401	0	0
65	761	6	63	401	0	0
65	762	37	62	238	1	1
65	762	37	63	238	1	1
65	762	71	62	238	0	0
65	762	71	63	238	0	0
65	762	6	62	238	0	0
65	762	6	63	238	0	0
65	760	6	62	187	1	1
65	760	6	63	187	1	1
65	760	37	63	187	1	1
65	023	44	62	151	1	1
65	023	44	63	151	1	1
65	760	37	62	187	1	1
65	761	37	62	401	1	1
65	761	37	63	401	1	1
70	761	37	66	401	1	1
70	760	37	66	187	1	1
70	762	37	66	238	1	1
71	760	37	67	187	1	1
71	760	37	68	187	1	1
71	023	44	67	151	1	1
71	023	44	68	151	1	1
72	023	44	69	151	1	1
72	023	44	70	151	1	1
72	760	6	70	187	1	1
72	760	37	69	187	1	1
72	760	37	70	187	1	1
72	762	6	70	238	0	0
72	762	6	69	238	0	0
72	762	42	70	238	1	0
72	762	37	69	238	1	1
72	762	37	70	238	1	1
72	760	6	69	187	1	1
72	761	6	70	401	0	0
72	761	6	69	401	0	0
72	761	37	69	401	1	1
72	761	37	70	401	1	1
72	761	42	70	401	1	0
73	760	37	72	187	1	1
